Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7lMUmOVeZtTMgsgBTISO3y,"Milk & Black Spiders","Holy Fire","Foals",2013-01-31,317253,45,false,,2023-06-09T23:10:27Z,"indie","Warner Records",0.555,0.796,11,-6.928,0,0.0538,0.000567,0.759,0.111,0.495,124.944,4
spotify:track:3vGsonmcc2Y7x8BZYKnjhi,"Nobody Sees Me Like You Do","Nobody Sees Me Like You Do","Japanese Breakfast",2022-01-26,211635,44,false,,2023-06-09T23:10:27Z,"","Canvasback",0.604,0.12,4,-12.964,1,0.0426,0.975,0.00112,0.227,0.245,84.828,4
spotify:track:6NunWZuZ6g9KipJ9Q5Vck7,"Bros","My Love Is Cool","Wolf Alice",2015-06-22,224720,54,false,,2023-06-09T23:10:27Z,"indie","Dirty Hit/RCA Records",0.583,0.921,4,-8.383,1,0.0697,0.00377,0.462,0.226,0.222,125.98,4
spotify:track:7uEDFuKsEsRSbVTVwHTt78,"You're a Germ","My Love Is Cool","Wolf Alice",2015-06-22,173160,32,true,,2023-06-09T23:10:27Z,"indie","Dirty Hit/RCA Records",0.628,0.835,7,-6.519,1,0.062,0.000899,0.167,0.322,0.575,138.035,4
spotify:track:4okcOFaWiH7Zl22gIRIA7M,"Ruthless","Ruthless","Cannons",2021-10-22,205312,38,true,,2023-06-09T23:10:27Z,"","Columbia",0.558,0.743,8,-6.644,1,0.039,0.0137,0.00279,0.102,0.402,127.888,4
spotify:track:6GBBXGZnQQ0yXclekj2wKR,"Don't Wait","Don't Wait","Michaela Slinger",2020-10-22,220401,0,false,,2023-06-09T23:10:27Z,"","604 Records",0.533,0.831,2,-5.825,1,0.0461,0.00778,0.00000941,0.274,0.369,124.935,4
spotify:track:39tghYXPDmgMRrR593GXML,"Timothy","Soft","Yellow Ostrich",2021-04-23,272755,9,false,,2023-06-09T23:10:27Z,"","Barsuk Records",0.578,0.44,10,-9.652,1,0.0276,0.501,0.0000014,0.211,0.337,146.055,4
spotify:track:5anJ1PqC3WFU6GyQi19bpy,"Yr Flaws","Soft","Yellow Ostrich",2021-04-23,197635,8,false,,2023-06-09T23:10:27Z,"","Barsuk Records",0.673,0.21,9,-12.51,1,0.0291,0.953,0.0000193,0.0713,0.428,92.958,4
spotify:track:21ZsgRmdPsUHQ9qw2gDvof,"Sit Shiva","Magnificent Bird","Gabriel Kahane",2022-03-25,201240,11,false,,2023-06-09T23:10:27Z,"","Nonesuch",0.427,0.317,1,-11.26,1,0.0433,0.914,0.00025,0.106,0.174,95.732,1
spotify:track:0oSuYlXnu6Kg9y0cEu3zx8,"Set The Fairlight","Set The Fairlight","Islands",2021-04-15,347746,3,false,,2023-06-09T23:10:27Z,"","Royal Mountain Records",0.487,0.939,7,-5.752,0,0.0419,0.0561,0.00315,0.339,0.358,168.679,4
spotify:track:183PcXpS8vr38mFGWMiJJH,"I Am Not An Animal","I Am Not an Animal","Captain Handsome",2020-01-31,273000,0,false,,2023-06-09T23:10:27Z,"","Reckless Yes Records",0.539,0.291,2,-12.014,1,0.0287,0.675,0.0000854,0.102,0.224,89.959,4
